"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Nov 17 14:47:00 GMT 2024","Sun Nov 17 14:47:00 GMT 2024","204","Utilities","","","","","Cypress.Blob - blob utilities and base64 string conversion",""
"passed","Sun Nov 17 14:45:46 GMT 2024","Sun Nov 17 14:45:47 GMT 2024","470","Aliasing","","","","",".as() - alias a DOM element for later use",""
"passed","Sun Nov 17 14:46:56 GMT 2024","Sun Nov 17 14:46:56 GMT 2024","107","Traversal","","","","",".prevUntil() - get all previous sibling DOM elements until el",""
"passed","Sun Nov 17 14:46:02 GMT 2024","Sun Nov 17 14:46:03 GMT 2024","328","Cookies","","","","","cy.getCookie() - get a browser cookie",""
"passed","Sun Nov 17 14:46:32 GMT 2024","Sun Nov 17 14:46:32 GMT 2024","259","Network Requests","","","","","cy.request() - pass result to the second request",""
"passed","Sun Nov 17 14:46:54 GMT 2024","Sun Nov 17 14:46:54 GMT 2024","105","Traversal","","","","",".nextUntil() - get next sibling DOM elements until next el",""
"passed","Sun Nov 17 14:45:58 GMT 2024","Sun Nov 17 14:45:58 GMT 2024","111","Connectors","","","","",".its() - get properties on the current subject",""
"passed","Sun Nov 17 14:46:26 GMT 2024","Sun Nov 17 14:46:27 GMT 2024","406","Navigation","","","","","cy.reload() - reload the page",""
"passed","Sun Nov 17 14:46:16 GMT 2024","Sun Nov 17 14:46:17 GMT 2024","91","Location","","","","","cy.location() - get window.location",""
"passed","Sun Nov 17 14:45:51 GMT 2024","Sun Nov 17 14:45:52 GMT 2024","103","Assertions","Explicit Assertions","","","","finds element by class name regex",""
"passed","Sun Nov 17 14:45:58 GMT 2024","Sun Nov 17 14:45:59 GMT 2024","128","Connectors",".then()","","","","yields the original subject without return",""
"passed","Sun Nov 17 14:45:40 GMT 2024","Sun Nov 17 14:45:40 GMT 2024","205","Actions","","","","",".scrollIntoView() - scroll an element into view",""
"passed","Sun Nov 17 14:45:34 GMT 2024","Sun Nov 17 14:45:35 GMT 2024","392","Actions","","","","",".submit() - submit a form",""
"passed","Sun Nov 17 14:46:09 GMT 2024","Sun Nov 17 14:46:09 GMT 2024","88","Cypress APIs","Cypress.spec","","","","Get current spec information",""
"passed","Sun Nov 17 14:45:59 GMT 2024","Sun Nov 17 14:45:59 GMT 2024","112","Connectors",".then()","","","","yields the value yielded by the last Cypress command inside",""
"passed","Sun Nov 17 14:47:00 GMT 2024","Sun Nov 17 14:47:01 GMT 2024","1092","Utilities","","","","","Cypress.Promise - instantiate a bluebird promise",""
"passed","Sun Nov 17 14:46:13 GMT 2024","Sun Nov 17 14:46:13 GMT 2024","192","Files","","","","","cy.writeFile() - write to a file",""
"passed","Sun Nov 17 14:46:08 GMT 2024","Sun Nov 17 14:46:08 GMT 2024","90","Cypress APIs","Cypress.platform","","","","Get underlying OS name",""
"passed","Sun Nov 17 14:46:55 GMT 2024","Sun Nov 17 14:46:55 GMT 2024","105","Traversal","","","","",".parentsUntil() - get parent DOM elements from DOM elements until el",""
"passed","Sun Nov 17 14:46:49 GMT 2024","Sun Nov 17 14:46:49 GMT 2024","165","Local Storage / Session Storage","","","","","cy.getAllLocalStorage() - get all data in localStorage for all origins",""
"passed","Sun Nov 17 14:46:12 GMT 2024","Sun Nov 17 14:46:13 GMT 2024","94","Files","","","","","cy.fixture() or require - load a fixture",""
"passed","Sun Nov 17 14:46:55 GMT 2024","Sun Nov 17 14:46:55 GMT 2024","115","Traversal","","","","",".parents() - get parent DOM elements from DOM elements",""
"passed","Sun Nov 17 14:45:52 GMT 2024","Sun Nov 17 14:45:52 GMT 2024","102","Assertions","Explicit Assertions","","","","assert - assert shape of an object",""
"passed","Sun Nov 17 14:47:00 GMT 2024","Sun Nov 17 14:47:00 GMT 2024","84","Utilities","","","","","Cypress.minimatch - test out glob patterns against strings",""
"passed","Sun Nov 17 14:45:37 GMT 2024","Sun Nov 17 14:45:37 GMT 2024","226","Actions","","","","",".dblclick() - double click on a DOM element",""
"passed","Sun Nov 17 14:46:49 GMT 2024","Sun Nov 17 14:46:49 GMT 2024","166","Local Storage / Session Storage","","","","","cy.clearAllSessionStorage() - clear all data in sessionStorage for all origins",""
"passed","Sun Nov 17 14:45:25 GMT 2024","Sun Nov 17 14:45:25 GMT 2024","246","example to-do app","with a checked task","","","","can filter for completed tasks",""
"passed","Sun Nov 17 14:46:03 GMT 2024","Sun Nov 17 14:46:03 GMT 2024","196","Cookies","","","","","cy.getCookies() - get browser cookies for the current domain",""
"passed","Sun Nov 17 14:46:08 GMT 2024","Sun Nov 17 14:46:08 GMT 2024","92","Cypress APIs","Cypress.log","","","","Control what is printed to the Command Log",""
"passed","Sun Nov 17 14:45:33 GMT 2024","Sun Nov 17 14:45:33 GMT 2024","160","Actions","","","","",".focus() - focus on a DOM element",""
"passed","Sun Nov 17 14:46:21 GMT 2024","Sun Nov 17 14:46:22 GMT 2024","945","Misc","Cypress.Screenshot","","","","cy.screenshot() - take a screenshot",""
"passed","Sun Nov 17 14:47:19 GMT 2024","Sun Nov 17 14:47:19 GMT 2024","93","Window","","","","","cy.document() - get the document object",""
"passed","Sun Nov 17 14:47:19 GMT 2024","Sun Nov 17 14:47:19 GMT 2024","95","Window","","","","","cy.title() - get the title",""
"passed","Sun Nov 17 14:46:26 GMT 2024","Sun Nov 17 14:46:26 GMT 2024","861","Navigation","","","","","cy.go() - go back or forward in the browser's history",""
"passed","Sun Nov 17 14:46:03 GMT 2024","Sun Nov 17 14:46:04 GMT 2024","208","Cookies","","","","","cy.clearCookies() - clear browser cookies for the current domain",""
"passed","Sun Nov 17 14:45:58 GMT 2024","Sun Nov 17 14:45:58 GMT 2024","94","Connectors","","","","",".spread() - spread an array as individual args to callback function",""
"passed","Sun Nov 17 14:46:22 GMT 2024","Sun Nov 17 14:46:22 GMT 2024","88","Misc","Cypress.Screenshot","","","","Cypress.Screenshot.defaults() - change default config of screenshots",""
"passed","Sun Nov 17 14:46:37 GMT 2024","Sun Nov 17 14:46:37 GMT 2024","122","Querying","","","","","cy.contains() - query DOM elements with matching content",""
"passed","Sun Nov 17 14:46:37 GMT 2024","Sun Nov 17 14:46:37 GMT 2024","93","Querying","","","","","cy.root() - query the root DOM element",""
"passed","Sun Nov 17 14:47:11 GMT 2024","Sun Nov 17 14:47:15 GMT 2024","4397","Waiting","","","","","cy.wait() - wait for a specific amount of time",""
"passed","Sun Nov 17 14:47:00 GMT 2024","Sun Nov 17 14:47:00 GMT 2024","186","Utilities","","","","","Cypress.$ - call a jQuery method",""
"passed","Sun Nov 17 14:45:34 GMT 2024","Sun Nov 17 14:45:34 GMT 2024","505","Actions","","","","",".clear() - clears an input or textarea element",""
"passed","Sun Nov 17 14:46:16 GMT 2024","Sun Nov 17 14:46:16 GMT 2024","203","Location","","","","","cy.hash() - get the current URL hash",""
"passed","Sun Nov 17 14:46:08 GMT 2024","Sun Nov 17 14:46:08 GMT 2024","94","Cypress APIs","Cypress.env()","","","","Get environment variables",""
"passed","Sun Nov 17 14:45:40 GMT 2024","Sun Nov 17 14:45:40 GMT 2024","169","Actions","","","","",".trigger() - trigger an event on a DOM element",""
"passed","Sun Nov 17 14:46:21 GMT 2024","Sun Nov 17 14:46:21 GMT 2024","269","Misc","","","","","cy.focused() - get the DOM element that has focus",""
"passed","Sun Nov 17 14:45:37 GMT 2024","Sun Nov 17 14:45:37 GMT 2024","210","Actions","","","","",".rightclick() - right click on a DOM element",""
"passed","Sun Nov 17 14:46:53 GMT 2024","Sun Nov 17 14:46:53 GMT 2024","108","Traversal","","","","",".filter() - get DOM elements that match the selector",""
"passed","Sun Nov 17 14:47:19 GMT 2024","Sun Nov 17 14:47:19 GMT 2024","215","Window","","","","","cy.window() - get the global window object",""
"passed","Sun Nov 17 14:45:58 GMT 2024","Sun Nov 17 14:45:58 GMT 2024","119","Connectors",".then()","","","","invokes a callback function with the current subject",""
"passed","Sun Nov 17 14:45:47 GMT 2024","Sun Nov 17 14:45:47 GMT 2024","492","Aliasing","","","","",".as() - alias a route for later use",""
"passed","Sun Nov 17 14:45:37 GMT 2024","Sun Nov 17 14:45:38 GMT 2024","782","Actions","","","","",".check() - check a checkbox or radio element",""
"passed","Sun Nov 17 14:45:57 GMT 2024","Sun Nov 17 14:45:58 GMT 2024","273","Connectors","","","","",".each() - iterate over an array of elements",""
"passed","Sun Nov 17 14:46:21 GMT 2024","Sun Nov 17 14:46:21 GMT 2024","90","Misc","","","","","cy.wrap() - wrap an object",""
"passed","Sun Nov 17 14:45:52 GMT 2024","Sun Nov 17 14:45:54 GMT 2024","1609","Assertions","Explicit Assertions","","","","retries the should callback until assertions pass",""
"passed","Sun Nov 17 14:46:53 GMT 2024","Sun Nov 17 14:46:53 GMT 2024","111","Traversal","","","","",".eq() - get a DOM element at a specific index",""
"passed","Sun Nov 17 14:46:03 GMT 2024","Sun Nov 17 14:46:03 GMT 2024","204","Cookies","","","","","cy.clearCookie() - clear a browser cookie",""
"passed","Sun Nov 17 14:46:54 GMT 2024","Sun Nov 17 14:46:54 GMT 2024","107","Traversal","","","","",".next() - get next sibling DOM element",""
"passed","Sun Nov 17 14:46:13 GMT 2024","Sun Nov 17 14:46:13 GMT 2024","104","Files","","","","","cy.readFile() - read file contents",""
"passed","Sun Nov 17 14:46:55 GMT 2024","Sun Nov 17 14:46:55 GMT 2024","121","Traversal","","","","",".parent() - get parent DOM element from DOM elements",""
"passed","Sun Nov 17 14:47:24 GMT 2024","Sun Nov 17 14:47:25 GMT 2024","893","Localstack login tests","","","","","Failed log in",""
"passed","Sun Nov 17 14:45:29 GMT 2024","Sun Nov 17 14:45:33 GMT 2024","3724","Actions","","","","",".type() - type into a DOM element",""
"passed","Sun Nov 17 14:46:37 GMT 2024","Sun Nov 17 14:46:37 GMT 2024","100","Querying","","","","",".within() - query DOM elements within a specific element",""
"passed","Sun Nov 17 14:45:40 GMT 2024","Sun Nov 17 14:45:43 GMT 2024","2141","Actions","","","","","cy.scrollTo() - scroll the window or element to a position",""
"passed","Sun Nov 17 14:45:24 GMT 2024","Sun Nov 17 14:45:24 GMT 2024","175","example to-do app","","","","","can check off an item as completed",""
"passed","Sun Nov 17 14:46:44 GMT 2024","Sun Nov 17 14:46:44 GMT 2024","180","Spies, Stubs, and Clock","","","","","cy.clock() - control time in the browser",""
"passed","Sun Nov 17 14:46:56 GMT 2024","Sun Nov 17 14:46:56 GMT 2024","105","Traversal","","","","",".siblings() - get all sibling DOM elements",""
"passed","Sun Nov 17 14:45:38 GMT 2024","Sun Nov 17 14:45:39 GMT 2024","778","Actions","","","","",".uncheck() - uncheck a checkbox element",""
"passed","Sun Nov 17 14:46:07 GMT 2024","Sun Nov 17 14:46:07 GMT 2024","222","Cypress APIs","Cypress.Commands","","","",".add() - create a custom command",""
"passed","Sun Nov 17 14:45:52 GMT 2024","Sun Nov 17 14:45:52 GMT 2024","105","Assertions","Explicit Assertions","","","","can throw any error",""
"passed","Sun Nov 17 14:45:24 GMT 2024","Sun Nov 17 14:45:25 GMT 2024","257","example to-do app","with a checked task","","","","can filter for uncompleted tasks",""
"passed","Sun Nov 17 14:47:05 GMT 2024","Sun Nov 17 14:47:07 GMT 2024","2763","Viewport","","","","","cy.viewport() - set the viewport size and dimension",""
"passed","Sun Nov 17 14:45:52 GMT 2024","Sun Nov 17 14:45:52 GMT 2024","104","Assertions","Explicit Assertions","","","","matches unknown text between two elements",""
"passed","Sun Nov 17 14:46:08 GMT 2024","Sun Nov 17 14:46:08 GMT 2024","92","Cypress APIs","Cypress.arch","","","","Get CPU architecture name of underlying OS",""
"passed","Sun Nov 17 14:46:53 GMT 2024","Sun Nov 17 14:46:53 GMT 2024","116","Traversal","","","","",".closest() - get closest ancestor DOM element",""
"passed","Sun Nov 17 14:46:32 GMT 2024","Sun Nov 17 14:46:32 GMT 2024","222","Network Requests","","","","","cy.request() - save response in the shared test context",""
"passed","Sun Nov 17 14:46:55 GMT 2024","Sun Nov 17 14:46:56 GMT 2024","105","Traversal","","","","",".prevAll() - get all previous sibling DOM elements",""
"passed","Sun Nov 17 14:45:51 GMT 2024","Sun Nov 17 14:45:51 GMT 2024","103","Assertions","Explicit Assertions","","","","expect - make an assertion about a specified subject",""
